_id,code,name,active,name_upper
1,1,Республика Адыгея,0,РЕСПУБЛИКА АДЫГЕЯ
2,2,Республика Башкортостан,0,РЕСПУБЛИКА БАШКОРТОСТАН
3,3,Республика Бурятия,0,РЕСПУБЛИКА БУРЯТИЯ
4,4,Республика Алтай,0,РЕСПУБЛИКА АЛТАЙ
5,5,Республика Дагестан,0,РЕСПУБЛИКА ДАГЕСТАН
6,6,Республика Ингушетия,0,РЕСПУБЛИКА ИНГУШЕТИЯ
7,7,Кабардино-Балкарская Республика,0,КАБАРДИНО-БАЛКАРСКАЯ РЕСПУБЛИКА
8,8,Республика Калмыкия,0,РЕСПУБЛИКА КАЛМЫКИЯ
9,9,Республика Карачаево-Черкессия,0,РЕСПУБЛИКА КАРАЧАЕВО-ЧЕРКЕССИЯ
10,10,Республика Карелия,0,РЕСПУБЛИКА КАРЕЛИЯ
11,11,Республика Коми,0,РЕСПУБЛИКА КОМИ
12,12,Республика Марий Эл,0,РЕСПУБЛИКА МАРИЙ ЭЛ
13,13,Республика Мордовия,0,РЕСПУБЛИКА МОРДОВИЯ
14,14,Республика Саха (Якутия),0,РЕСПУБЛИКА САХА (ЯКУТИЯ)
15,15,Республика Северная Осетия-Алания,0,РЕСПУБЛИКА СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ
16,16,Республика Татарстан,0,РЕСПУБЛИКА ТАТАРСТАН
17,17,Республика Тыва,0,РЕСПУБЛИКА ТЫВА
18,18,Удмуртская Республика,0,УДМУРТСКАЯ РЕСПУБЛИКА
19,19,Республика Хакасия,0,РЕСПУБЛИКА ХАКАСИЯ
20,20,Чеченская республика,0,ЧЕЧЕНСКАЯ РЕСПУБЛИКА
21,21,Чувашская Республика,0,ЧУВАШСКАЯ РЕСПУБЛИКА
22,22,Алтайский край,0,АЛТАЙСКИЙ КРАЙ
23,23,Краснодарский край,0,КРАСНОДАРСКИЙ КРАЙ
24,24,Красноярский край,0,КРАСНОЯРСКИЙ КРАЙ
25,25,Приморский край,0,ПРИМОРСКИЙ КРАЙ
26,26,Ставропольский край,0,СТАВРОПОЛЬСКИЙ КРАЙ
27,27,Хабаровский край,0,ХАБАРОВСКИЙ КРАЙ
28,28,Амурская область,0,АМУРСКАЯ ОБЛАСТЬ
29,29,Архангельская область,0,АРХАНГЕЛЬСКАЯ ОБЛАСТЬ
30,30,Астраханская область,0,АСТРАХАНСКАЯ ОБЛАСТЬ
31,31,Белгородская область,0,БЕЛГОРОДСКАЯ ОБЛАСТЬ
32,32,Брянская область,0,БРЯНСКАЯ ОБЛАСТЬ
33,33,Владимирская область,0,ВЛАДИМИРСКАЯ ОБЛАСТЬ
34,34,Волгоградская область,0,ВОЛГОГРАДСКАЯ ОБЛАСТЬ
35,35,Вологодская область,0,ВОЛОГОДСКАЯ ОБЛАСТЬ
36,36,Воронежская область,0,ВОРОНЕЖСКАЯ ОБЛАСТЬ
37,37,Ивановская область,0,ИВАНОВСКАЯ ОБЛАСТЬ
38,38,Иркутская область,0,ИРКУТСКАЯ ОБЛАСТЬ
39,39,Калининградская область,0,КАЛИНИНГРАДСКАЯ ОБЛАСТЬ
40,40,Калужская область,0,КАЛУЖСКАЯ ОБЛАСТЬ
41,41,Камчатский край,0,КАМЧАТСКИЙ КРАЙ
43,42,Кемеровская область,0,КЕМЕРОВСКАЯ ОБЛАСТЬ
44,43,Кировская область,0,КИРОВСКАЯ ОБЛАСТЬ
45,44,Костромская область,0,КОСТРОМСКАЯ ОБЛАСТЬ
46,45,Курганская область,0,КУРГАНСКАЯ ОБЛАСТЬ
47,46,Курская область,0,КУРСКАЯ ОБЛАСТЬ
48,47,Ленинградская область,0,ЛЕНИНГРАДСКАЯ ОБЛАСТЬ
49,48,Липецкая область,0,ЛИПЕЦКАЯ ОБЛАСТЬ
50,49,Магаданская область,0,МАГАДАНСКАЯ ОБЛАСТЬ
51,50,Московская область,0,МОСКОВСКАЯ ОБЛАСТЬ
52,51,Мурманская область,0,МУРМАНСКАЯ ОБЛАСТЬ
53,52,Нижегородская область,0,НИЖЕГОРОДСКАЯ ОБЛАСТЬ
54,53,Новгородская область,0,НОВГОРОДСКАЯ ОБЛАСТЬ
55,54,Новосибирская область,0,НОВОСИБИРСКАЯ ОБЛАСТЬ
56,55,Омская область,0,ОМСКАЯ ОБЛАСТЬ
57,56,Оренбургская область,0,ОРЕНБУРГСКАЯ ОБЛАСТЬ
58,57,Орловская область,0,ОРЛОВСКАЯ ОБЛАСТЬ
59,58,Пензенская область,0,ПЕНЗЕНСКАЯ ОБЛАСТЬ
60,59,Пермский край,0,ПЕРМСКИЙ КРАЙ
62,60,Псковская область,0,ПСКОВСКАЯ ОБЛАСТЬ
63,61,Ростовская область,0,РОСТОВСКАЯ ОБЛАСТЬ
64,62,Рязанская область,0,РЯЗАНСКАЯ ОБЛАСТЬ
65,63,Самарская область,0,САМАРСКАЯ ОБЛАСТЬ
66,64,Саратовская область,0,САРАТОВСКАЯ ОБЛАСТЬ
67,65,Сахалинская область,0,САХАЛИНСКАЯ ОБЛАСТЬ
68,66,Свердловская область,0,СВЕРДЛОВСКАЯ ОБЛАСТЬ
69,67,Смоленская область,0,СМОЛЕНСКАЯ ОБЛАСТЬ
70,68,Тамбовская область,0,ТАМБОВСКАЯ ОБЛАСТЬ
71,69,Тверская область,0,ТВЕРСКАЯ ОБЛАСТЬ
72,70,Томская область,0,ТОМСКАЯ ОБЛАСТЬ
73,71,Тульская область,0,ТУЛЬСКАЯ ОБЛАСТЬ
74,72,Тюменская область,0,ТЮМЕНСКАЯ ОБЛАСТЬ
75,73,Ульяновская область,0,УЛЬЯНОВСКАЯ ОБЛАСТЬ
76,74,Челябинская область,0,ЧЕЛЯБИНСКАЯ ОБЛАСТЬ
77,75,Забайкальский край,0,ЗАБАЙКАЛЬСКИЙ КРАЙ
79,76,Ярославская область,0,ЯРОСЛАВСКАЯ ОБЛАСТЬ
80,77,Москва,0,МОСКВА
81,78,Санкт-Петербург,0,САНКТ-ПЕТЕРБУРГ
82,79,Еврейская автономная область,0,ЕВРЕЙСКАЯ АВТОНОМНАЯ ОБЛАСТЬ
86,83,Ненецкий автономный округ,0,НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ
89,86,Ханты-Мансийский автономный округ - Югра,0,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА
90,87,Чукотский автономный округ,0,ЧУКОТСКИЙ АВТОНОМНЫЙ ОКРУГ
92,89,Ямало-Ненецкий автономный округ,0,ЯМАЛО-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ
84,82,Республика Крым,0,РЕСПУБЛИКА КРЫМ
85,92,Севастополь,0,СЕВАСТОПОЛЬ
